PctBachDeg25_Over,incidenceRate,PctHS25_Over,povertyPercent,PctPublicCoverageAlone,PctPrivateCoverage,PctUnemployed16_Over,PctHS18_24,deathRate
11.9,461.8,29.8,23.2,28.7,49.5,8.9,41.4,191.44362636339184
25.0,444.5,26.8,5.8,9.6,83.8,6.1,30.4,149.05276345846744
9.4,372.0,42.8,20.9,22.3,48.2,9.1,45.2,179.09262115693934
9.0,537.2,33.3,12.4,21.8,52.4,5.6,61.8,206.34635883701628
11.5,457.8,34.3,20.2,21.8,54.3,7.8,48.2,190.43853475384773
20.6,462.0,23.3,10.3,14.1,75.7,9.0,43.0,166.07820426667226
14.5,449.4,35.6,14.5,18.7,65.4,5.6,36.9,175.344983542058
11.2,466.9,42.8,13.5,20.8,69.7,5.1,25.8,180.12754936565116
19.6,458.2,31.7,18.3,13.3,64.2,1.4,42.9,172.62576184672767
19.5,406.9,25.5,25.2,13.6,74.0,7.3,17.1,159.1861923423861
10.0,478.4,43.8,29.1,33.0,33.9,14.8,63.9,219.43557336861602
10.0,471.7,34.4,14.9,18.8,69.0,5.3,27.7,180.81221966022676
10.4,424.5,32.6,14.6,17.2,60.5,7.9,37.0,175.1484845711643
17.7,423.6,30.4,16.9,20.8,66.1,6.4,16.9,161.40576223580848
8.1,529.0,34.7,10.1,11.6,76.3,3.4,18.0,185.61502589242534
22.5,507.7,27.2,11.0,13.4,77.5,3.1,36.0,169.9439333109483
8.3,476.1,38.1,29.9,27.0,50.5,9.4,27.4,202.03722458148656
12.6,521.4,38.8,14.7,12.1,78.6,3.4,23.9,185.95092173144602
7.0,529.5,40.4,22.1,24.9,52.1,11.4,46.4,215.88758056954183
11.2,261.1,31.5,29.2,25.1,45.4,8.4,36.5,153.58780190240572
16.3,470.4,32.8,15.4,18.6,69.8,9.7,40.2,180.31595717119743
11.9,536.7,33.6,15.2,19.7,68.1,6.8,29.3,194.2028683375988
5.4,326.4,49.3,33.7,32.8,41.8,4.4,50.9,185.8808033339199
12.5,303.0,31.9,18.3,24.4,49.6,10.9,43.4,155.97421001237416
11.3,421.7,30.2,24.6,24.3,61.6,14.3,37.7,184.57338279687875
22.9,410.9,25.5,9.2,12.5,70.6,4.9,41.3,150.88024335963914
8.9,415.8,27.9,24.5,26.9,42.6,11.5,41.8,187.6255376132169
7.6,338.2,43.6,23.8,36.1,35.2,17.6,40.5,183.14233885985547
6.1,630.4,40.7,26.7,29.8,52.9,8.3,40.9,238.32660018581555
14.4,398.2,30.3,11.2,14.2,67.3,6.2,49.5,163.52171729577702
15.0,350.1,33.4,12.5,22.7,61.6,4.8,43.0,153.78284396984498
8.7,480.9,40.0,17.5,24.5,58.7,10.4,30.7,194.164072931328
14.2,482.4,28.1,16.8,17.1,61.5,7.5,36.3,183.01095836097767
6.7,459.4,46.1,18.5,20.2,59.8,20.0,42.3,203.25035930709055
12.3,508.1,32.8,18.0,23.1,59.1,11.5,30.0,194.38193657083306
